doc;usp_keywords
astriis.pdf;['public', 'secret', 'of', 'confidential', 'restricted']
atmocoat.pdf;['pem', 'metal', 'keur', 'coating', 'coatings']
avoxt.pdf;['000 000', '000', 'electrolyser', 'membrane', '5mw']
awakemobility.pdf;['buses', 'data is', 'data', 'read', 'fleet management']
axfenergy.pdf;['bioethanol', 'the', 'of', 'sugar', 'mio']
azteq.pdf;['azteq', 'pitch deck start', 'scale up name', 'deck start', 'deck start up']
azteq2.pdf;['azteq', 'management presentation', 'private and confidential', 'private and', 'and confidential']
batiprint3d.pdf;['robotic', 'of', 'construction', 'site', 'and']
beagle.pdf;['drone', 'the', 'and', 'to', 'or']
bianergy2.pdf;['and', 'he', 'wireless', 'cables', 'the']
biocide.pdf;['deloitte', 'biocide', 'the', 'to mm', 'thibaud le']
blixt.pdf;['dc', 'ac', 'losses', 'points', 'selling']
bloom.pdf;['lignin', 'bloom', 'jda', 'biomass', 'of']
bluepowersynergy.pdf;['000', 'water', 'energy', 'storage', 'regions']
bondzai.pdf;['company confidential', 'confidential information', 'information', 'ai', 'confidential']
bonidriver.pdf;['drivers', 'the', 'truck', 'app', 'driver']
borealesenergy.pdf;['cold', 'ice', 'the', 'energy', 'of']
brighterbins.pdf;['month', 'upfront', 'camera', 'waste', 'mounted']
brolz.pdf;['the', 'of', 'nuclear', 'to', 'ar']
bulane.pdf;['hydrogen', 'combustion', 'the', 'of', 'hydrogen combustion']
carbodown.pdf;['the', 'of', 'in', 'co2', '000']
carbon8.pdf;['and', 'the', 'to', 'document', 'any']
carbyon2.pdf;['carbyon', 'dac', 'this business plan', 'the', 'sorbent']
chemalive.pdf;['quantum', 'chf', 'data', 'confidential', 'prediction']
chemicalnewtech.pdf;['and', 'titanium', 'the', 'certificate', 'technician']
cilkoa.pdf;['01 2023', 'authorization', 'diffusion', 'prohibited without', '01']
cixten.pdf;['of', 'the', 'co2', 'fatal', 'trl']
clhynn.pdf;['01 2023', 'memorandum', 'confidentiel', 'page', '01']
cognifab.pdf;['pitch deck', 'master', 'pitch', 'billion', 'spectrum']
coldpad.pdf;['000', '75 75', 'the', 'of', '000 000']
coldpad2.pdf;['of', 'anchors', 'the', 'and', 'trl9']
companionenergy.pdf;['draft', 'energy', 'mn', 'confidential', 'steering']
comppair.pdf;['too', 'ch', 'sports', 'composites', 'aerospace']
comsens.pdf;['total total', 'composites', 'sens', 'total', 'cashflow']
condugo.pdf;['deck start up', 'scale up name', 'up name', 'deck start', 'pitch deck start']
cosmotech.pdf;['con dential', 'dential', 'con', 'constant', 'simulation']
covess.pdf;['covess', 'tanks', 'the', 'confidential draft', 'of']
credoxys.pdf;['redox', 'organic', 'meur', 'and', 'materials']
ctrlenergy.pdf;['00', '000 00', 'bms', 'energy investment', 'investors only']
cybus.pdf;['and', 'the', 'to', 'of', 'shop']
dacma.pdf;['march 2024', 'dac', 'strictly confidential', 'strictly', 'march']
deephawk.pdf;['ai', 'detection', 'stellantis', 'in', 'replacing']
deloq.pdf;['strictly confidential', 'strictly', 'and', 'photonics', 'laser']
diamfab.pdf;['diamond', 'devices', 'wafer', 'grenoble', 'high value added']
dimpora.pdf;['pfas', 'rich', 'fluorinated', 'internationally', 'and']
dionymer.pdf;['documents', 'reserved', 'rights reserved', 'all rights reserved', 'all rights']
dotocean.pdf;['confidential information', 'information', 'confidential', 'autonomous', 'port']
dragonflypads2.pdf;['drone', 'drones', 'and', 'operations', 'hw']
dronematrix.pdf;['2020 copyright', 'the', 'drone', 'and', '000']
dropslab.pdf;['06 2024', '06', 'assistance', '13', 'the right']
dryad.pdf;['mesh', 'gateway', 'sensors', 'sensor', 'ha']
ecellix.pdf;['and', 'inc', 'he', 'of', 'university']
echemicles.pdf;['electrolysis for', 'for better', 'tomorrow', 'electrolysis', 'better']
eco2grow.pdf;['smes', 'energy', 'our', 'gwh', 'os']
ecobot.pdf;['cobot', 'confidential industrya', 'industrya', 'of', 'the']
ecop.pdf;['pitchdeck', 'the', 'heat', 'of', 'technologies gmbh']
edgetech.pdf;['the', 'of', 'sensors', 'ia', 'to']
edock.pdf;['parking', 'to', 'bike', 'mobility', '000']
effectsphotonics.pdf;['photonics', 'effect', 'copyright', 'and', 'of']
effitrax.pdf;['and', 'the', 'to', 'data', 'fleet']
ehgroup.pdf;['fc', 'eh', 'chf', 'strictly confidential', 'strictly']
electriq.pdf;['powder', 'hydrogen', 'backup', 'm2', 'storage']
electrochaea.pdf;['mwe', 'methane', 'mn', 'twh', 'confidential']
elugie.pdf;['power', 'intro', 'company team', 'sofc', 'methane']
enadyne.pdf;['dential', 'con dential', 'co2', 'the', 'biogas']
enhywhere2.pdf;['hydrogen', 'stations', 'and', 'refueling', 'in']
enosis.pdf;['of', 'methane', 'spv', 'biogas', 'renewable']
enow.pdf;['36 000', 'the', 'of', '000', 'junior']
enprove.pdf;['000', 'consultancy', '500', 'arr', 'sustainability']
entent.pdf;['the', 'fatal heat', 'fatal', 'of', 'in']
entras.pdf;['03 2023', '03', 'saas', 'tools', '24']
esnah.pdf;['aircraft', 'the', 'and', 'aviation', 'cargo']
eternalpower.pdf;['eternal', 'and', 'page', 'offtake', 'hydrogen']
ethernics.pdf;['orange', 'data centers', 'centers', 'to', 'emea']
everysens.pdf;['rail', 'titre', 'style', 'du', 'le']
exanodia.pdf;['2026 2026', 'cnd', '2026', 'of', 'ia']
exomatter.pdf;['materials', 'data', 'the', 'of', 'to']
extracthive.pdf;['the', 'fiber', 'fibers', 'of', 'proprietary and confidential']
farwind.pdf;['energy', 'fuel', 'wind', 'confidential', 'case study']
fibersail2.pdf;['pitch deck', 'pitch', 'deck', 'presentation', '11']
flasc.pdf;['flasc', 'offshore', 'storage', 'wind', 'energy storage']
flasc2.pdf;['flasc', 'offshore', 'wind', 'offshore wind', 'storage']
flyability.pdf;['inspection', 'confined spaces', 'confined', 'the', 'outcomes']
flyability2.pdf;['deck start', 'pitch deck start', 'deck start up', 'scale up name', 'up name']
followinspiration.pdf;['fi', 'and', 'the', 'autonomous', 'he']
forecastyai.pdf;['commodity', 'desk', 'commodities', 'steel', 'acv']
fountainfuel.pdf;['strictly private confidential', 'private confidential', 'strictly private', 'hrs', 'the']
genesink.pdf;['conductive', 'inks', 'silver', 'market', 'transparent']
genhy.pdf;['hy', 'the', 'hydrogen', 'gen', 'of']
geolith.pdf;['lithium', '2022 strictly', '2022 strictly confidential', 'the', 'capt']
ghyga.pdf;['projet', 'hydrogen', 'des', 'h2', 'the']
grandperspective.pdf;['presentation 2024', 'investor presentation', 'presentation', 'investor', '2024']
gravithy.pdf;['the', 'dri', 'this teaser', 'of', 'and']
greengentech.pdf;['the', 'of', 'bottle', 'and', 'in']
greenyenergyag.pdf;['storage', 'compressor', 'chf', 'energy storage', 'compressed air']
grizit.pdf;['company confidential', 'confidential', 'company', 'and', 'of']
grownbio.pdf;['version', 'dec 2024', 'earlier', 'versions', 'replaces']
h2sys.pdf;['genset', 'h2', 'gensets', 'confidential', 'of']
hace.pdf;['the', 'of', 'and', 'in', 'to']
hawaitech.pdf;['in confidence', 'market clients', 'technology competition', 'confidence', 'product technology']
hbat.pdf;['and', 'hydrogen', 'storage', 'catalysts', 'layer']
heliac.pdf;['heat', 'natural gas', 'and', 'industrya', 'solar']
heliup2.pdf;['avolta', 'pv', 'panels', 'lightweight', 'in']
hevatech.pdf;['of', 'the', 'cold', 'and', 'twh']
hexana.pdf;['avolta', 'of', 'and', 'the', 'avoltapartners com']
hexana2.pdf;['the', 'of', 'hexana', 'and', 'to']
highline.pdf;['mio', 'cell', 'fraunhofer', 'print', 'printing']
hiqutediamond.pdf;['diamond', 'quantum', 'diamonds', 'wafers', 'in']
hoeller.pdf;['electrolyzer', '01', 'stack', 'private and', 'gmbh']
holosolis.pdf;['the', 'holosolis', 'and', 'of', 'to']
holy.pdf;['rev', 'serial', 'serial production', 'component', 'of']
huskk.pdf;['000', 'exo', 'year year', '000 000', 'year year year']
hysilabs.pdf;['h2', 'loi', 'release', 'the', 'to']
hyve.pdf;['the', 'of', 'and', 'to', 'mea']
hywaves.pdf;['electrolyser', 'solar', 'h2', 'dc', 'to']
icodos.pdf;['icodos', 'methanol', 'eur', 'green methanol', 'mn']
imsystems.pdf;['robot', 'the', 'drive', 'speed', 'robots']
independentlivingbase.pdf;['of', 'bubble', 'the', 'in', 'and']
ineratec.pdf;['and', 'saf', 'fuel', '100 mw', 'mw']
infiniciag.pdf;['glass', 'composite', 'fiber', 'fibre', 'to']
inflights.pdf;['drone', 'pilots', 'to', 'and', 'of']
infrasolid.pdf;['rights reserved confidential', 'reserved confidential', 'slide', 'rights reserved', 'all rights reserved']
inphocal.pdf;['laser', 'marking', 'and', 'units sold', 'to']
insens.pdf;['machines', 'data', 'to', 'maintenance', 'guillaume']
intelligentfluids.pdf;['fluids', 'of', 'intelligent', 'and', 'cleaning']
internest.pdf;['or used in', 'part without', 'copied disclosed or', 'copied disclosed', 'proprietary information of']
inuse.pdf;['strictly private confidential', 'private confidential', 'strictly private', 'q2', '21']
ionics.pdf;['belgique', 'rue', 'authorization of', 'or reproduced', 'reserved for']
ipsumtek.pdf;['tek', 'flex', 'ipsum', 'the', 'distributor']
iqunet.pdf;['wireless', 'mgr', 'sensor', 'sales margin', 'pc']
istya.pdf;['air quality', 'air', 'indoor', 'of', 'pollution']
japet.pdf;['pain', 'exoskeleton', 'back', 'of', 'leads']
keeyaerogel.pdf;['aerogel', 'keey', 'keey aerogel', '2021 strictly', 'aerogel sas']
keeyaerogel2.pdf;['aerogel', 'keey', 'keey aerogel', 'keey aerogel sas', 'aerogel sas']
keiron.pdf;['tno', 'van', 'revenue model', 'laser', 'serviceable']
kemiwatt.pdf;['the', 'confidential industrya', 'of', 'confidential', 'and']
kheoos.pdf;['stock', 'and', 'to', 'dead', 'the']
komugi.pdf;['the', 'of', 'to', 'erp', 'and']
kooping.pdf;['of', 'the', 'cameras', 'ia', 'surveillance']
lancey.pdf;['confidentiel', 'energy storage', 'energy', 'fr', 'storage']
laserco.pdf;['cladding', 'laser', 'alloys', 'coatings', 'diamond']
latannerievegetale.pdf;['leather', 'luxury', 'and', 'brands', 'circular']
leviathandynamics2.pdf;['the', 'of', 'and', 'to', 'in']
lichens.pdf;['orange', 'the', '5g', 'of', 'euro']
lionvolt.pdf;['li metal', 'li', '3d', 'metal', 'anode']
lithcote.pdf;['the', 'of', '100 100', '100 100 100', 'in']
litherm.pdf;['lime', 'cement', 'technologies gmbh', 'gmbh', 'reserved']
maana.pdf;['confidential proprietary', 'maana', 'solar', 'proprietary', 'confidential']
machine2humansolutions.pdf;['service', 'of', 'knowledge management', 'crm', 'and']
magreesource.pdf;['magnets', 'and', 'of', 'the', 'in']
manaa.pdf;['maana', 'maana electric', 'human ambition', 'electric sa', 'powering human']
mantispectra.pdf;['2022 all rights', '2022 all', 'confidential 2022', 'rights reserved', 'all rights']
mariepoppies.pdf;['of', 'the', 'seasonal', 'belgium', 'and']
matvision.pdf;['mt', 'sorting', '2025', 'to', 'robert']
mcve.pdf;['mcve', 'eoprom', 'r2r', 'iot', 'additive']
mcve3.pdf;['mcve', 'mcve tech', 'www mcve tech', 'www mcve', 'mcve tech com']
mcve4.pdf;['composite', 'the', 'of', 'composites', 'and']
meam.pdf;['wave', 'normal', 'plc', 'practices', 'and']
mecabotix.pdf;['bot', 'robots', 'warehouse', 'bi', 'lifting']
mecawareA.pdf;['confidential industrya', 'gwh', 'of', 'scraps', 'industrya']
metaliq.pdf;['co2', 'core', 'hydrogen', 'ccu', 'gmbh']
mirsense.pdf;['lasers', 'laser', 'ir', 'mid', 'air quality']
mitis.pdf;['micro', 'chp', 'heat', 'biogas', 'heating']
mobenergy.pdf;['charging', 'charles', 'parking', 'mob', 'and']
mobilitywork.pdf;['mobility', 'teaser', 'and', 'work', 'maintenance']
mobito.pdf;['data', '2022 confidential', 'confidential information', 'mobility data', 'mobility']
moiz.pdf;['sensors', 'transmission', 'of', 'aluminium', 'data transmission']
molecularplasmagroup.pdf;['plasma', 'the', 'molecular', 'to', 'eur']
muodim.pdf;['confidential document', 'com confidential', 'of', 'document', 'the']
myjiminy.pdf;['talents', 'the', 'creative', 'talent', 'of']
nanoz.pdf;['sensor', 'gas', 'the', 'in', 'mox']
nature2need.pdf;['2021 all rights', '2021 all', 'compounds', 'all rights', 'reserved']
neextengineering.pdf;['heat', 'fluids', 'yield', 'reactive', 'heat to']
nestwave.pdf;['iot', 'wi', 'fi', 'cloud', 'tracking']
neurala.pdf;['confidential www', 'proprietary and confidential', '617', '418', 'proprietary and']
nextind.pdf;['the', 'to', 'of', 'in', 'yes']
nexwafe.pdf;['nexwafe', 'wafer', 'fab', 'com confidential', 'gw']
nexxoil.pdf;['of', 'the', 'waste', 'in', 'plant']
nexxtlab.pdf;['energy', 'and', 'the', 'to', 'energy transition']
nimbleone.pdf;['reserved confidential', 'rights reserved confidential', 'all rights', 'reserved', 'rights reserved']
nimesis.pdf;['prohibited without prior', 'prohibited without', 'prior authorization', 'reproduction of this', 'without prior authorization']
novacarbon.pdf;['nova', 'carbon', 'carbon fiber', 'composites', 'of']
novali3.pdf;['energy density', 'li metal', 'li', 'energy', 'charging']
novocycle.pdf;['per kg', 'battery', 'kg', 'throughput', 'black mass']
novomof.pdf;['mofs', 'confidential all', 'proprietary and confidential', 'co2', 'capture']
obeia.pdf;['of', 'ia', 'the', 'maintenance', 'year']
octofan.pdf;['october 2022', 'strictly confidential', 'strictly', 'en', 'october']
oghji.pdf;['the', 'of', 'and', 'circuits', 'electrical']
ollow.pdf;['composite', 'of', 'series', 'large series', 'the']
onewatt.pdf;['ai', 'bs', 'service', 'computer science', 'integration with']
oppr.pdf;['and', 'the', 'to', 'human', 'the company']
otiv.pdf;['otiv', 'rail', 'and', 'complex environments', 'railway']
otiv2.pdf;['otiv', 'rail', 'tele', 'driver', 'assistance']
ouat!.pdf;['to', 'the', 'and', 'eur', 'biotech']
oxylum.pdf;['acid', 'the', 'co2', 'of', 'and']
packwise.pdf;['and', 'the', 'containers', 'of', 'to']
pathrobotics.pdf;['future of manufacturing', 'of manufacturing', 'the future of', 'future of', 'the future']
pepps.pdf;['the', 'and', 'to', 'of', 'digital']
phoenixai.pdf;['phoenix', 'ai', 'to', 'cameras', 'detection']
phytonics.pdf;['passed', 'anti', 'glass', 'coating', 'rev']
polypea.pdf;['copyright 2023', 'copyright', 'and', 'film', 'of']
powerlubecontrol.pdf;['lubrication', 'plc', 'monitor', 'sensor', 'power']
pozyx.pdf;['the', 'anchors', 'business cases', 'to', 'in']
propellane.pdf;['april 2023', 'confidential document', 'heat', 'april', 'fatal']
purenat2.pdf;['deck confidential', 'confidential 2024', 'air', 'pitch deck', 'pitch']
pydro.pdf;['water', 'loss', 'in', 'italy', 'and']
qualitics.pdf;['eu', '000', 'voltage', 'ai', 'and']
reeverse.pdf;['000 000 000', '000 000', '000', 'of', 'materials']
rein4ced.pdf;['deloitte', 'and', 'thermoplastic', 'bicycle', 'composite']
rejuice.pdf;['000', 'batteries', 'kwh', 'battery', 'ev']
renewind.pdf;['wind', 'speed', 'noise', 'the', 'in']
replace.pdf;['the', 'of', '000', 'plastic', 'and']
ridergy.pdf;['charging', 'fleets', 'evs', 'energy', 'and']
rift.pdf;['iron', 'fuel', 'the', 'of', 'heat']
roav7.pdf;['of', 'the', 'confidential industrya', 'and', 'in']
rosi.pdf;['silicon', 'pv', 'of', 'modules', 'end of life']
roth2.pdf;['of', 'the', 'type', 'this teaser', 'teaser']
rovenso.pdf;['night', 'ok', 'des', 'robot', 'of']
sakowin.pdf;['h2', 'ds', 'company confidential', 'kg h2', 'classification']
saturnetechnology.pdf;['debt', 'equity', 'of', 'recruitments', 'leasing']
senergetics.pdf;['insulation', 'inc', 'in', 'is in', 'our team']
senodis.pdf;['2023 08', '08', 'pitch deck 2023', '08 07', 'investment pitch deck']
senorics.pdf;['decide', 'of', 'detect', 'sensor', 'know']
senseven.pdf;['and', 'mn', 'in', 'eur', 'inspection']
sereema.pdf;['sereema', 'the', 'wind', 'of', 'turbines']
sesam.pdf;['and', 'in', 'www', 'data', 'of']
shayp.pdf;['water', 'property of', 'dential', 'con dential', 'con']
sironatechnologies.pdf;['dac', 'co2', 'capture', 'sorbent', 'and']
skydrone.pdf;['2025 all', 'all rights', 'page', 'rights', 'reserved']
sogilis.pdf;['ot', 'edge', 'plc', 'edge computing', 'computing']
soluterials.pdf;['aluminium', 'innovative high performance', 'innovative high', 'pure', 'high performance']
soomiq.pdf;['waste heat', 'heat', 'waste', 'the', 'and']
spark2.pdf;['solid carbon', 'reproduction prohibited', 'partners confidential', 'prohibited without prior', 'capital partners']
spotlight.pdf;['ccs', 'spotlight', 'monitoring', 'the', 'recurrent']
spreeinteractive.pdf;['vr', '000', 'content', 'entertainment', 'strictly confidential']
squairtech.pdf;['st', 'prod', 'air quality', 'filtration', 'air']
staaq.pdf;['pem', 'mw', 'of', 'hydrogen', 'electrolysis']
stabilogreen.pdf;['utm', 'tons', 'plastic', '000 tons', '000']
starcopter.pdf;['personnel', 'expenses', 'battery', 'eur', 'certification']
stargate.pdf;['alkaline', 'presentation may 2024', 'mw', 'stack', 'presentation may']
storh.pdf;['hydrogen', 'standard for', 'storage standard', 'for green mobility', 'green mobility']
sublimeenergie.pdf;['the', 'of', 'july 2022', 'energie', 'and']
sunlion.pdf;['solar pv', 'pv', 'solar', 'presentation confidential', 'management presentation']
sunmaxx.pdf;['sunmaxx', 'pvt', 'and', 'the', 'strictly private and']
sunmaxx2.pdf;['pvt', 'sunmaxx', 'for the world', 'made for the', 'europe made']
supairvision.pdf;['titre', 'test', 'de', 'zones', 'effectiveness']
swanh.pdf;['ammonia', 'page', 'and', 'the', 'nitrogen']
swoopenergy.pdf;['remaining', 'generator', 'of', 'alexis', 'the']
sylfen.pdf;['and', 'energy hub', 'the', 'energy', 'and eco']
teeptrak2.pdf;['arr', 'sites', 'site', '1x', 'to']
terakalis.pdf;['of', 'terahertz', 'the', 'measurement', 'mer']
teratonics.pdf;['thz', 'of', 'control', 'confidential', 'the']
theyeq.pdf;['quality', 'industrialisation', 'the', 'of', 'imaging']
threedy.pdf;['3d', 'compute', 'data', 'digital', 'visual']
tiamat.pdf;['gwh', 'sodium', 'ion', 'sample', 'lithium']
tihive.pdf;['teaser', 'and', 'terahertz', 'avolta', 'the']
torwash.pdf;['sludge', 'and', 'the', 'circular', 'or']
tozero.pdf;['black mass', 'black', 'lithium', 'lib', 'li']
tractonomy.pdf;['robotics', 'confidential', '2020', 'handling', 'pack']
turbit.pdf;['failure', 'downtime', 'and', 'mio', 'in']
turbulent.pdf;['turbulent', 'the', 'hydropower', 'commitment', 'and']
twikit.pdf;['mrr', '000 000 000', '000 000', '000', 'digital']
twinsity.pdf;['inspection', 'inspections', 'and', 'ai', 'manual']
uavia.pdf;['000', 'written permission of', 'be reproduced modified', 'written permission', 'reproduced modified']
uware.pdf;['and', 'underwater', 'robotics', 'the', 'ocean']
uware2.pdf;['and', 'underwater', 'robotics', 'the', 'ocean']
uze.pdf;['charging', 'london', 'area', 'antwerp', 'delivery']
v2i.pdf;['v2i', 'of', 'and', 'the', 'in']
variolytics.pdf;['wastewater', '000', 'treatment', 'ppm', 'emission']
vernaio.pdf;['ai', 'the', 'of', 'and', 'to']
viridianlithium.pdf;['lithium', 'hydroxide', 'battery grade', 'of', 'the']
visiontechnology.pdf;['combustion', 'he', 'the', 'engines', 'of']
visplore.pdf;['data', 'sec', 'interactive', 'and', 'of']
vocsens.pdf;['strictly confidential', 'strictly', 'confidential', 'sensing', '3x']
voleatech.pdf;['vt', 'air', 'air our', '10 23', '30 10']
vulkam.pdf;['alloys', 'the', 'strictly confidential', 'strictly', 'luxury']
wainvame.pdf;['jan 2023', '2023 confidential', 'diamond', 'ndt', 'jan']
waterhorizon.pdf;['horizon', 'the', 'water', 'heat', 'wh']
waterstuffsun.pdf;['stuff', 'sun', 'by water', 'h2', 'bar']
watt4ever.pdf;['batteries', 'in', 'battery', 'and', 'of']
wattalps.pdf;['cooling', 'of', 'the', 'battery', 'batteries']
wayout.pdf;['yes', 'no yes', 'no', 'yes no', 'water']
wespran.pdf;['and', 'of', 'to', 'the', 'capture']
wiidetect.pdf;['of', 'the', 'in', 'and', 'algorithm']
windfisher.pdf;['wind', 'mwh', 'flight', '100kw', 'the']
wizata.pdf;['2020 confidential', '2020', 'arcelormittal', 'confidential', 'yield']
worms2.pdf;['proprietary confidential', 'vibration', 'strain', 's1', 'confidential']
xeryon.pdf;['motor', 'mm', 'nm', 'hans', 'precise']
yazzoom.pdf;['excel', 'sensor', 'and', 'to', 'moisture']
ysenergiesmarines.pdf;['the', 'and', 'of', 'wave', 'wave energy']
zensor.pdf;['revolution', 'lack of', 'lack', 'rolling', 'specific']
zeppsolutions.pdf;['zepp', 'zepp solutions', 'fuel cell', 'and', '17 05']
zorabots.pdf;['the', 'iot', 'virtual', 'and', 'code']
